id,sport,game,betOn,betType,pick,line,ou,prob,ev,evGrade,confidence,ml,grade,outcome,settledAt,hScore,aScore,note,date
2026-09-06_Arsenal_Chelsea_PL_SOC_OVER2.5,PL,,OVER 2.5,ML,,,,,,,,-110,,win,2026-09-06T18:17:48.736000+00:00,,,,2026-09-06
2026-09-06_Frosinone_Venezia_SERIEA_UNDER3.5,SERIEA,,UNDER 3.5,ML,,,,,,,,-110,,loss,2026-09-06T16:24:19.707000+00:00,,,,2026-09-06
2026-09-06_Everton_Manchester United_PL_SOC_ManchesterUnitedWin,PL,,Manchester United Win,ML,,,,,,,,-110,,loss,2026-09-06T16:24:19.170000+00:00,,,,2026-09-06
2026-09-06_Málaga_Levante_LIGA_UNDER2.5,LIGA,,UNDER 2.5,ML,,,,,,,,-110,,win,2026-09-06T18:24:49.631000+00:00,,,,2026-09-06
2026-09-06_Hamburg SV_Mainz_BUND_UNDER2.5,BUND,,UNDER 2.5,ML,,,,,,,,-110,,loss,2026-09-06T16:24:19.463000+00:00,,,,2026-09-06
2026-09-06_Parma_Monza_SERIEA_ParmaWin,SERIEA,,Parma Win,ML,,,,,,,,-110,,loss,2026-09-06T15:15:59.459000+00:00,,,,2026-09-06
2026-09-06_Valencia_Barcelona_LIGA_UNDER3.5,LIGA,,UNDER 3.5,ML,,,,,,,,-110,,loss,2026-09-06T16:24:19.305000+00:00,,,,2026-09-06
2026-09-06_T.Townsend_A.Sabalenka_WTA_A.SabalenkaML,WTA,,A.Sabalenka ML,ML,,,,,,,,-110,,win,2026-09-06T18:18:39.137000+00:00,,,,2026-09-06
2026-09-06_Eintracht Frankfurt_FC Augsburg_BUND_UNDER3.5,BUND,,UNDER 3.5,ML,,,,,,,,-110,,loss,2026-09-06T17:23:26.743000+00:00,,,,2026-09-06
2026-09-06_Valencia_Barcelona_LIGA_BarcelonaWin,LIGA,,Barcelona Win,ML,,,,,,,,-110,,win,2026-09-06T16:24:19.304000+00:00,,,,2026-09-06
2026-09-06_Arsenal_Chelsea_PL_SOC_ArsenalWin,PL,,Arsenal Win,ML,,,,,,,,-110,,win,2026-09-06T18:17:48.736000+00:00,,,,2026-09-06
2026-09-06_Málaga_Levante_LIGA_LevanteWin,LIGA,,Levante Win,ML,,,,,,,,-110,,loss,2026-09-06T18:24:49.632000+00:00,,,,2026-09-06
2026-09-06_Parma_Monza_SERIEA_OVER2.5,SERIEA,,OVER 2.5,ML,,,,,,,,-110,,loss,2026-09-06T15:15:59.459000+00:00,,,,2026-09-06
2026-09-06_Everton_Manchester United_PL_SOC_OVER2.5,PL,,OVER 2.5,ML,,,,,,,,-110,,win,2026-09-06T16:24:19.171000+00:00,,,,2026-09-06
2026-09-06_Hamburg SV_Mainz_BUND_HamburgSVWin,BUND,,Hamburg SV Win,ML,,,,,,,,-110,,loss,2026-09-06T16:10:49.634000+00:00,,,,2026-09-06
2026-09-06_Eintracht Frankfurt_FC Augsburg_BUND_EintrachtFrankfurtWin,BUND,,Eintracht Frankfurt Win,ML,,,,,,,,-110,,loss,2026-09-06T17:23:26.742000+00:00,,,,2026-09-06
2026-09-06_Parma_Monza_SERIEA_UNDER2.5,SERIEA,,UNDER 2.5,ML,,,,,,,,-110,,win,2026-09-06T16:24:19.709000+00:00,,,,2026-09-06
